>Q0010 Q0010 SGDID:S000007257, Chromosome Mito:3952..4338
>DRS2 YAL026C SGDID:S000000024, Chromosome I:95630..99697
>SAW1 YAL027W SGDID:S000000025, Chromosome I:94687..95472
>FRT2 YAL028W SGDID:S000000026, Chromosome I:92900..94486
>MYO4 YAL029C SGDID:S000000027, Chromosome I:87855..92270
>GIP4 YAL031C SGDID:S000000029, Chromosome I:84749..87031
>YAL031W-A YAL031W-A SGDID:S000028731, Chromosome I:84669..84977
>POP5 YAL033W SGDID:S000000031, Chromosome I:82706..83227
>YAL034C-B YAL034C-B SGDID:S000002137, Chromosome I:79489..79842
>FUN19 YAL034C SGDID:S000002134, Chromosome I:80710..81951
>MTW1 YAL034W-A SGDID:S000000032, Chromosome I:79718..80587
>FUN12 YAL035W SGDID:S000000033, Chromosome I:76427..79435
>RBG1 YAL036C SGDID:S000000034, Chromosome I:75043..76152
>YAL037C-A YAL037C-A SGDID:S000028732, Chromosome I:73426..73518
>YAL037C-B YAL037C-B SGDID:S000028592, Chromosome I:72326..73300
>YAL037W YAL037W SGDID:S000000035, Chromosome I:74020..74823
>CLN3 YAL040C SGDID:S000000038, Chromosome I:65778..67520
>YAL042C-A YAL042C-A SGDID:S000002138, Chromosome I:61231..61608
>ERV46 YAL042W SGDID:S000000040, Chromosome I:61316..62563
>GCV3 YAL044C SGDID:S000000042, Chromosome I:57950..58462
>BOL1 YAL044W-A SGDID:S000007586, Chromosome I:57518..57850
>YAL045C YAL045C SGDID:S000000043, Chromosome I:57488..57796
>YAL047W-A YAL047W-A SGDID:S000028733, Chromosome I:54584..54913
>GEM1 YAL048C SGDID:S000000046, Chromosome I:52801..54789
>AIM2 YAL049C SGDID:S000000047, Chromosome I:51855..52595
>FLC2 YAL053W SGDID:S000000049, Chromosome I:45899..48250
>ACS1 YAL054C SGDID:S000000050, Chromosome I:42881..45022
>PEX22 YAL055W SGDID:S000000051, Chromosome I:42177..42719
>YAL056C-A YAL056C-A SGDID:S000002139, Chromosome I:38696..39046
>GPB2 YAL056W SGDID:S000000052, Chromosome I:39259..41901
>CNE1 YAL058W SGDID:S000000054, Chromosome I:37464..38972
>YAL059C-A YAL059C-A SGDID:S000028734, Chromosome I:36496..36918
>ECM1 YAL059W SGDID:S000000055, Chromosome I:36509..37147
>YAL063C-A YAL063C-A SGDID:S000028813, Chromosome I:22395..22685
>YAL064W-B YAL064W-B SGDID:S000002141, Chromosome I:12046..12426
>YAL064W YAL064W SGDID:S000000060, Chromosome I:21566..21850
>YAL066W YAL066W SGDID:S000000061, Chromosome I:10091..10399
>YAL069W YAL069W SGDID:S000002143, Chromosome I:335..649
>ERP1 YAR002C-A SGDID:S000002129, Chromosome I:154065..154724
>NUP60 YAR002W SGDID:S000000063, Chromosome I:152257..153876
>SWD1 YAR003W SGDID:S000000064, Chromosome I:155005..156285
>RFA1 YAR007C SGDID:S000000065, Chromosome I:156754..158619
>ADE1 YAR015W SGDID:S000000070, Chromosome I:169375..170295
>CDC15 YAR019C SGDID:S000000072, Chromosome I:172211..175135
>YAR019W-A YAR019W-A SGDID:S000028735, Chromosome I:174998..175330
>YAR030C YAR030C SGDID:S000001821, Chromosome I:186512..186853
>YAR035C-A YAR035C-A SGDID:S000028595, Chromosome I:192337..192417
>SWH1 YAR042W SGDID:S000000081, Chromosome I:192619..196185
>YAR047C YAR047C SGDID:S000000083, Chromosome I:201467..201787
>YAR053W YAR053W SGDID:S000000085, Chromosome I:208367..208663
>YAR070C YAR070C SGDID:S000000093, Chromosome I:224563..224862
>ECM15 YBL001C SGDID:S000000097, Chromosome II:237153..237467
>UTP20 YBL004W SGDID:S000000100, Chromosome II:227636..235117
>PDR3 YBL005W SGDID:S000000101, Chromosome II:217470..220400
>LDB7 YBL006C SGDID:S000000102, Chromosome II:216587..217129
>YBL006W-A YBL006W-A SGDID:S000028596, Chromosome II:216711..216860
>SLA1 YBL007C SGDID:S000000103, Chromosome II:212632..216366
>YBL008W-A YBL008W-A SGDID:S000028529, Chromosome II:209409..209648
>ALK2 YBL009W SGDID:S000000105, Chromosome II:207194..209224
>LAA2 YBL010C SGDID:S000000106, Chromosome II:206107..206949
>SCT1 YBL011W SGDID:S000000107, Chromosome II:203538..205817
>YBL012C YBL012C SGDID:S000000108, Chromosome II:203406..203807
>FMT1 YBL013W SGDID:S000000109, Chromosome II:202056..203261
>ACH1 YBL015W SGDID:S000000111, Chromosome II:194122..195702
>HAP3 YBL021C SGDID:S000000117, Chromosome II:181660..182094
>RRN10 YBL025W SGDID:S000000121, Chromosome II:171481..171918
>LSM2 YBL026W SGDID:S000000122, Chromosome II:170623..171038
>YBL028C YBL028C SGDID:S000000124, Chromosome II:167518..167838
>YBL029C-A YBL029C-A SGDID:S000007591, Chromosome II:164488..164772
>SHE1 YBL031W SGDID:S000000127, Chromosome II:161699..162715
>HEK2 YBL032W SGDID:S000000128, Chromosome II:160184..161329
>RIB1 YBL033C SGDID:S000000129, Chromosome II:158656..159693
>STU1 YBL034C SGDID:S000000130, Chromosome II:153848..158389
>YBL036C YBL036C SGDID:S000000132, Chromosome II:150447..151220
>MRPL16 YBL038W SGDID:S000000134, Chromosome II:146187..146885
>YBL039C-A YBL039C-A SGDID:S000028814, Chromosome II:144948..145031
>URA7 YBL039C SGDID:S000000135, Chromosome II:143989..145728
>MIN6 YBL039W-B SGDID:S000028517, Chromosome II:143393..143572
>PRE7 YBL041W SGDID:S000000137, Chromosome II:141247..141972
>FUI1 YBL042C SGDID:S000000138, Chromosome II:138341..140260
>ECM13 YBL043W SGDID:S000000139, Chromosome II:136688..137461
>YBL044W YBL044W SGDID:S000000140, Chromosome II:135998..136366
>RRT1 YBL048W SGDID:S000000144, Chromosome II:127299..127610
>MOH1 YBL049W SGDID:S000000145, Chromosome II:126828..127244
>SEC17 YBL050W SGDID:S000000146, Chromosome II:125125..126119
>SAS3 YBL052C SGDID:S000000148, Chromosome II:119379..121874
>YBL053W YBL053W SGDID:S000000149, Chromosome II:119335..119709
>TOD6 YBL054W SGDID:S000000150, Chromosome II:117589..119166
>YBL055C YBL055C SGDID:S000000151, Chromosome II:115573..116829
>PTC3 YBL056W SGDID:S000000152, Chromosome II:113762..115168
>PTH2 YBL057C SGDID:S000000153, Chromosome II:112801..113427
>CMC2 YBL059C-A SGDID:S000007488, Chromosome II:110125..110539
>SKT5 YBL061C SGDID:S000000157, Chromosome II:105316..107406
>YBL062W YBL062W SGDID:S000000158, Chromosome II:105308..105688
>PRX1 YBL064C SGDID:S000000160, Chromosome II:100371..101156
>YBL065W YBL065W SGDID:S000000161, Chromosome II:99963..100307
>SEF1 YBL066C SGDID:S000000162, Chromosome II:96669..100115
>PRS4 YBL068W SGDID:S000000164, Chromosome II:92414..93394
>AST1 YBL069W SGDID:S000000165, Chromosome II:90741..92030
>YBL070C YBL070C SGDID:S000000166, Chromosome II:90605..90925
>YBL071C-B YBL071C-B SGDID:S000028597, Chromosome II:89458..89556
>YBL071C YBL071C SGDID:S000000167, Chromosome II:90223..90531
>KTI11 YBL071W-A SGDID:S000007587, Chromosome II:89978..90226
>YBL073W YBL073W SGDID:S000000169, Chromosome II:87646..87957
>YBL077W YBL077W SGDID:S000000173, Chromosome II:80897..81328
>ATG8 YBL078C SGDID:S000000174, Chromosome II:80378..80731
>NUP170 YBL079W SGDID:S000000175, Chromosome II:75259..79767
>PET112 YBL080C SGDID:S000000176, Chromosome II:73070..74695
>ALG3 YBL082C SGDID:S000000178, Chromosome II:69751..71127
>YBL083C YBL083C SGDID:S000000179, Chromosome II:69713..70138
>CDC27 YBL084C SGDID:S000000180, Chromosome II:67169..69445
>BOI1 YBL085W SGDID:S000000181, Chromosome II:63876..66818
>YBL086C YBL086C SGDID:S000000182, Chromosome II:61202..62602
>AVT5 YBL089W SGDID:S000000185, Chromosome II:49574..50953
>MRP21 YBL090W SGDID:S000000186, Chromosome II:48825..49358
>SCS22 YBL091C-A SGDID:S000007228, Chromosome II:46565..47180
>MAP2 YBL091C SGDID:S000000187, Chromosome II:47363..48628
>ROX3 YBL093C SGDID:S000000189, Chromosome II:44256..44918
>YBL094C YBL094C SGDID:S000000190, Chromosome II:43765..44097
>MRX3 YBL095W SGDID:S000000191, Chromosome II:43277..44089
>YBL096C YBL096C SGDID:S000000192, Chromosome II:43174..43482
>BNA4 YBL098W SGDID:S000000194, Chromosome II:39145..40527
>ATP1 YBL099W SGDID:S000000195, Chromosome II:37053..38690
>YBL100C YBL100C SGDID:S000000196, Chromosome II:36989..37303
>YBL100W-C YBL100W-C SGDID:S000028598, Chromosome II:28427..28546
>ECM21 YBL101C SGDID:S000000197, Chromosome II:24946..28299
>SFT2 YBL102W SGDID:S000000198, Chromosome II:24098..24745
>RTG3 YBL103C SGDID:S000000199, Chromosome II:22076..23536
>YBL109W YBL109W SGDID:S000002150, Chromosome II:5790..6125
>NTH2 YBR001C SGDID:S000000205, Chromosome II:238941..241283
>RER2 YBR002C SGDID:S000000206, Chromosome II:241708..242568
>COQ1 YBR003W SGDID:S000000207, Chromosome II:242809..244230
>GPI18 YBR004C SGDID:S000000208, Chromosome II:244366..245667
>RCR1 YBR005W SGDID:S000000209, Chromosome II:245906..246547
>DSF2 YBR007C SGDID:S000000211, Chromosome II:248806..251016
>FLR1 YBR008C SGDID:S000000212, Chromosome II:252563..254209
>IPP1 YBR011C SGDID:S000000215, Chromosome II:257112..257975
>YBR013C YBR013C SGDID:S000000217, Chromosome II:265492..265881
>GRX7 YBR014C SGDID:S000000218, Chromosome II:266725..267336
>YBR016W YBR016W SGDID:S000000220, Chromosome II:270247..270633
>KAP104 YBR017C SGDID:S000000221, Chromosome II:270947..273703
>GAL7 YBR018C SGDID:S000000222, Chromosome II:274427..275527
>POA1 YBR022W SGDID:S000000226, Chromosome II:283738..284271
>CHS3 YBR023C SGDID:S000000227, Chromosome II:284428..287925
>SCO2 YBR024W SGDID:S000000228, Chromosome II:289445..290350
>OLA1 YBR025C SGDID:S000000229, Chromosome II:290681..291865
>YBR027C YBR027C SGDID:S000000231, Chromosome II:294024..294356
>YPK3 YBR028C SGDID:S000000232, Chromosome II:294425..296002
>YBR032W YBR032W SGDID:S000000236, Chromosome II:301519..301821
>EDS1 YBR033W SGDID:S000000237, Chromosome II:301944..304703
>HMT1 YBR034C SGDID:S000000238, Chromosome II:304930..305976
>PDX3 YBR035C SGDID:S000000239, Chromosome II:306269..306955
>CSG2 YBR036C SGDID:S000000240, Chromosome II:309081..310313
>ATP3 YBR039W SGDID:S000000243, Chromosome II:315575..316510
>FIG1 YBR040W SGDID:S000000244, Chromosome II:316968..317864
>FAT1 YBR041W SGDID:S000000245, Chromosome II:318266..320275
>ZTA1 YBR046C SGDID:S000000250, Chromosome II:330507..331511
>REB1 YBR049C SGDID:S000000253, Chromosome II:334386..336818
>YBR051W YBR051W SGDID:S000000255, Chromosome II:337988..338338
>RFS1 YBR052C SGDID:S000000256, Chromosome II:338720..339352
>YBR053C YBR053C SGDID:S000000257, Chromosome II:339675..340751
>YRO2 YBR054W SGDID:S000000258, Chromosome II:343101..344135
>PRP6 YBR055C SGDID:S000000259, Chromosome II:344602..347301
>YBR056C-B YBR056C-B SGDID:S000087087, Chromosome II:351293..351451
>MNC1 YBR056W-A SGDID:S000028736, Chromosome II:351255..351455
>MRX18 YBR056W SGDID:S000000260, Chromosome II:347879..349384
>MUM2 YBR057C SGDID:S000000261, Chromosome II:352193..353293
>TSC3 YBR058C-A SGDID:S000007521, Chromosome II:356324..356566
>UBP14 YBR058C SGDID:S000000262, Chromosome II:353672..356017
>AKL1 YBR059C SGDID:S000000263, Chromosome II:356861..360187
>CNM1 YBR063C SGDID:S000000267, Chromosome II:366970..368184
>YBR064W YBR064W SGDID:S000000268, Chromosome II:367763..368191
>NRG2 YBR066C SGDID:S000000270, Chromosome II:370037..370699
>TIP1 YBR067C SGDID:S000000271, Chromosome II:372103..372735
>ALG14 YBR070C SGDID:S000000274, Chromosome II:379221..379934
>YBR071W YBR071W SGDID:S000000275, Chromosome II:380411..381046
>YBR072C-A YBR072C-A SGDID:S000028532, Chromosome II:382860..383021
>YBR076C-A YBR076C-A SGDID:S000028533, Chromosome II:391351..391617
>SLM4 YBR077C SGDID:S000000281, Chromosome II:391805..392293
>ECM33 YBR078W SGDID:S000000282, Chromosome II:393123..394742
>RPG1 YBR079C SGDID:S000000283, Chromosome II:395383..398277
>TEC1 YBR083W SGDID:S000000287, Chromosome II:409169..410629
>MIS1 YBR084W SGDID:S000000288, Chromosome II:411054..413981
>YBR085C-A YBR085C-A SGDID:S000007522, Chromosome II:418907..419164
>RFC5 YBR087W SGDID:S000000291, Chromosome II:423765..424829
>POL30 YBR088C SGDID:S000000292, Chromosome II:424990..425766
>YBR089W YBR089W SGDID:S000000293, Chromosome II:425183..425782
>YBR090C YBR090C SGDID:S000000294, Chromosome II:426333..427058
>PBY1 YBR094W SGDID:S000000298, Chromosome II:432036..434297
>RXT2 YBR095C SGDID:S000000299, Chromosome II:434406..435698
>YBR096W YBR096W SGDID:S000000300, Chromosome II:436021..436713
>MMS4 YBR098W SGDID:S000000302, Chromosome II:441515..443590
>YBR099C YBR099C SGDID:S000000303, Chromosome II:442924..443307
>FES1 YBR101C SGDID:S000000305, Chromosome II:443821..444693
>EXO84 YBR102C SGDID:S000000306, Chromosome II:445062..447323
>YBR103C-A YBR103C-A SGDID:S000007593, Chromosome II:449320..449463
>YMC2 YBR104W SGDID:S000000308, Chromosome II:449667..450656
>VID24 YBR105C SGDID:S000000309, Chromosome II:450881..451969
>SND3 YBR106W SGDID:S000000310, Chromosome II:452658..453224
>CMD1 YBR109C SGDID:S000000313, Chromosome II:457919..458362
>YBR109W-A YBR109W-A SGDID:S000028737, Chromosome II:458608..458832
>YSA1 YBR111C SGDID:S000000315, Chromosome II:461178..461873
>SUS1 YBR111W-A SGDID:S000028510, Chromosome II:462139..462579
>CYC8 YBR112C SGDID:S000000316, Chromosome II:462870..465770
>YBR113W YBR113W SGDID:S000000317, Chromosome II:465566..466048
>LYS2 YBR115C SGDID:S000000319, Chromosome II:469748..473926
>YBR116C YBR116C SGDID:S000000320, Chromosome II:474199..474726
>CBP6 YBR120C SGDID:S000000324, Chromosome II:480435..480923
>YBR121C-A YBR121C-A SGDID:S000028815, Chromosome II:482326..482484
>GRS1 YBR121C SGDID:S000000325, Chromosome II:481364..483367
>YBR124W YBR124W SGDID:S000000328, Chromosome II:486507..486866
>PTC4 YBR125C SGDID:S000000329, Chromosome II:487199..488380
>TPS1 YBR126C SGDID:S000000330, Chromosome II:488905..490392
>MEO1 YBR126W-A SGDID:S000028600, Chromosome II:490850..491056
>YBR126W-B YBR126W-B SGDID:S000028738, Chromosome II:490927..491070
>VMA2 YBR127C SGDID:S000000331, Chromosome II:491269..492822
>ATG14 YBR128C SGDID:S000000332, Chromosome II:493081..494115
>OPY1 YBR129C SGDID:S000000333, Chromosome II:494353..495339
>SHE3 YBR130C SGDID:S000000334, Chromosome II:495592..496869
>YBR131C-A YBR131C-A SGDID:S000028601, Chromosome II:497650..497739
>AGP2 YBR132C SGDID:S000000336, Chromosome II:499652..501442
>HSL7 YBR133C SGDID:S000000337, Chromosome II:501804..504287
>YBR134W YBR134W SGDID:S000000338, Chromosome II:504243..504644
>CKS1 YBR135W SGDID:S000000339, Chromosome II:504854..505306
>MEC1 YBR136W SGDID:S000000340, Chromosome II:505668..512774
>YBR137W YBR137W SGDID:S000000341, Chromosome II:513044..513583
>YBR141W-A YBR141W-A SGDID:S000028602, Chromosome II:527167..527262
>SUP45 YBR143C SGDID:S000000347, Chromosome II:530869..532182
>YBR144C YBR144C SGDID:S000000348, Chromosome II:533235..533549
>MRPS9 YBR146W SGDID:S000000350, Chromosome II:535260..536096
>APD1 YBR151W SGDID:S000000355, Chromosome II:545028..545978
>SPP381 YBR152W SGDID:S000000356, Chromosome II:546376..547251
>RIB7 YBR153W SGDID:S000000357, Chromosome II:547460..548194
>RPB5 YBR154C SGDID:S000000358, Chromosome II:548362..549009
>CNS1 YBR155W SGDID:S000000359, Chromosome II:549771..550928
>SLI15 YBR156C SGDID:S000000360, Chromosome II:551104..553200
>ICS2 YBR157C SGDID:S000000361, Chromosome II:553543..554310
>AMN1 YBR158W SGDID:S000000362, Chromosome II:556549..558198
>YSY6 YBR162W-A SGDID:S000002158, Chromosome II:565231..565428
>EXO5 YBR163W SGDID:S000000367, Chromosome II:565723..567480
>ARL1 YBR164C SGDID:S000000368, Chromosome II:567875..568426
>UBS1 YBR165W SGDID:S000000369, Chromosome II:568852..569685
>PEX32 YBR168W SGDID:S000000372, Chromosome II:572371..573612
>SEC66 YBR171W SGDID:S000000375, Chromosome II:578364..578984
>SMY2 YBR172C SGDID:S000000376, Chromosome II:579150..581372
>UMP1 YBR173C SGDID:S000000377, Chromosome II:581726..582172
>YBR174C YBR174C SGDID:S000000378, Chromosome II:582338..582652
>EHT1 YBR177C SGDID:S000000381, Chromosome II:584807..586162
>YBR178W YBR178W SGDID:S000000382, Chromosome II:586071..586445
>FZO1 YBR179C SGDID:S000000383, Chromosome II:586547..589114
>YBR182C-A YBR182C-A SGDID:S000028603, Chromosome II:595361..595555
>YPC1 YBR183W SGDID:S000000387, Chromosome II:596115..597065
>YBR184W YBR184W SGDID:S000000388, Chromosome II:597363..598934
>MBA1 YBR185C SGDID:S000000389, Chromosome II:599123..599959
>NTC20 YBR188C SGDID:S000000392, Chromosome II:603685..604107
>YBR191W-A YBR191W-A SGDID:S000007594, Chromosome II:607149..607223
>MED8 YBR193C SGDID:S000000397, Chromosome II:609082..609753
>AIM4 YBR194W SGDID:S000000398, Chromosome II:610038..610409
>MSI1 YBR195C SGDID:S000000399, Chromosome II:610614..611882
>YBR196C-A YBR196C-A SGDID:S000028534, Chromosome II:614024..614173
>YBR196C-B YBR196C-B SGDID:S000028816, Chromosome II:614526..614630
>PGI1 YBR196C SGDID:S000000400, Chromosome II:612236..613900
>YBR197C YBR197C SGDID:S000000401, Chromosome II:615203..615856
>KTR4 YBR199W SGDID:S000000403, Chromosome II:618909..620303
>YBR200W-A YBR200W-A SGDID:S000028535, Chromosome II:622983..623147
>BEM1 YBR200W SGDID:S000000404, Chromosome II:620872..622527
>MIN7 YBR201C-A SGDID:S000087085, Chromosome II:624493..624696
>DER1 YBR201W SGDID:S000000405, Chromosome II:623576..624211
>YBR206W YBR206W SGDID:S000000410, Chromosome II:634601..634924
>FTH1 YBR207W SGDID:S000000411, Chromosome II:635146..636543
>DUR12 YBR208C SGDID:S000000412, Chromosome II:636703..642210
>YBR209W YBR209W SGDID:S000000413, Chromosome II:642583..642900
>ERV15 YBR210W SGDID:S000000414, Chromosome II:645550..645978
>AME1 YBR211C SGDID:S000000415, Chromosome II:646158..647132
>NGR1 YBR212W SGDID:S000000416, Chromosome II:647886..649904
>MET8 YBR213W SGDID:S000000417, Chromosome II:650368..651192
>HPC2 YBR215W SGDID:S000000419, Chromosome II:653356..655317
>YBP1 YBR216C SGDID:S000000420, Chromosome II:655576..657600
>ATG12 YBR217W SGDID:S000000421, Chromosome II:657832..658392
>YBR220C YBR220C SGDID:S000000424, Chromosome II:662995..664677
>PDB1 YBR221C SGDID:S000000425, Chromosome II:665153..666253
>YBR221W-A YBR221W-A SGDID:S000028817, Chromosome II:666538..666642
>PCS60 YBR222C SGDID:S000000426, Chromosome II:666720..668351
>TDP1 YBR223C SGDID:S000000427, Chromosome II:668663..670297
>YBR223W-A YBR223W-A SGDID:S000028604, Chromosome II:668721..668840
>YBR224W YBR224W SGDID:S000000428, Chromosome II:670125..670640
>YBR225W YBR225W SGDID:S000000429, Chromosome II:670627..673329
>YBR226C YBR226C SGDID:S000000430, Chromosome II:673155..673565
>MCX1 YBR227C SGDID:S000000431, Chromosome II:673572..675134
>SLX1 YBR228W SGDID:S000000432, Chromosome II:675313..676227
>COQ21 YBR230W-A SGDID:S000029722, Chromosome II:680362..680562
>YBR232C YBR232C SGDID:S000000436, Chromosome II:683373..683732
>PBP2 YBR233W SGDID:S000000437, Chromosome II:683428..684669
>ARC40 YBR234C SGDID:S000000438, Chromosome II:685438..686592
>VHC1 YBR235W SGDID:S000000439, Chromosome II:686901..690263
>PRP5 YBR237W SGDID:S000000441, Chromosome II:691969..694518
>YBR238C YBR238C SGDID:S000000442, Chromosome II:695107..697302
>ERT1 YBR239C SGDID:S000000443, Chromosome II:698354..699943
>THI2 YBR240C SGDID:S000000444, Chromosome II:700490..701842
>VVS1 YBR241C SGDID:S000000445, Chromosome II:702589..704055
>ALG7 YBR243C SGDID:S000000447, Chromosome II:705447..706793
>ISW1 YBR245C SGDID:S000000449, Chromosome II:708150..711539
>RRT2 YBR246W SGDID:S000000450, Chromosome II:711591..712754
>ENP1 YBR247C SGDID:S000000451, Chromosome II:713004..714455
>HIS7 YBR248C SGDID:S000000452, Chromosome II:714807..716465
>ARO4 YBR249C SGDID:S000000453, Chromosome II:716882..717994
>SPO23 YBR250W SGDID:S000000454, Chromosome II:719033..720604
>MRPS5 YBR251W SGDID:S000000455, Chromosome II:721390..722313
>DUT1 YBR252W SGDID:S000000456, Chromosome II:722611..723054
>SRB6 YBR253W SGDID:S000000457, Chromosome II:723270..723635
>MTC4 YBR255W SGDID:S000000459, Chromosome II:724456..726540
>RIB5 YBR256C SGDID:S000000460, Chromosome II:727386..728102
>POP4 YBR257W SGDID:S000000461, Chromosome II:728885..729724
>SHG1 YBR258C SGDID:S000000462, Chromosome II:729734..730162
>YBR259W YBR259W SGDID:S000000463, Chromosome II:730387..732453
>RGD1 YBR260C SGDID:S000000464, Chromosome II:732639..734639
>TAE1 YBR261C SGDID:S000000465, Chromosome II:734832..735530
>MIC12 YBR262C SGDID:S000000466, Chromosome II:735720..736040
>SHM1 YBR263W SGDID:S000000467, Chromosome II:736264..737736
>YPT10 YBR264C SGDID:S000000468, Chromosome II:737770..738369
>SLM6 YBR266C SGDID:S000000470, Chromosome II:739936..740388
>REI1 YBR267W SGDID:S000000471, Chromosome II:739841..741022
>MRPL37 YBR268W SGDID:S000000472, Chromosome II:741299..741616
>EFM2 YBR271W SGDID:S000000475, Chromosome II:744852..746111
>UBX7 YBR273C SGDID:S000000477, Chromosome II:748061..749371
>CHK1 YBR274W SGDID:S000000478, Chromosome II:749594..751177
>YBR277C YBR277C SGDID:S000000481, Chromosome II:760215..760616
>DPB3 YBR278W SGDID:S000000482, Chromosome II:760294..760899
>PAF1 YBR279W SGDID:S000000483, Chromosome II:761257..762594
>SAF1 YBR280C SGDID:S000000484, Chromosome II:762784..764697
>DUG2 YBR281C SGDID:S000000485, Chromosome II:764970..767606
>MRPL27 YBR282W SGDID:S000000486, Chromosome II:768240..768680
>SSH1 YBR283C SGDID:S000000487, Chromosome II:768943..770415
>APE3 YBR286W SGDID:S000000490, Chromosome II:774700..776313
>YBR287W YBR287W SGDID:S000000491, Chromosome II:776571..777854
>APM3 YBR288C SGDID:S000000492, Chromosome II:778012..779463
>SNF5 YBR289W SGDID:S000000493, Chromosome II:779667..782384
>CTP1 YBR291C SGDID:S000000495, Chromosome II:783673..784572
>YBR292C YBR292C SGDID:S000000496, Chromosome II:784702..785073
>TYC1 YBR296C-A SGDID:S000028605, Chromosome II:800123..800242
>PHO89 YBR296C SGDID:S000000500, Chromosome II:796798..798522
>YBR300C YBR300C SGDID:S000000504, Chromosome II:808600..809097
>YCL002C YCL002C SGDID:S000000508, Chromosome III:110808..111675
>PGS1 YCL004W SGDID:S000000510, Chromosome III:109105..110670
>VMA9 YCL005W-A SGDID:S000028508, Chromosome III:107023..107417
>LDB16 YCL005W SGDID:S000000511, Chromosome III:108021..108791
>YCL007C YCL007C SGDID:S000000513, Chromosome III:106974..107366
>STP22 YCL008C SGDID:S000000514, Chromosome III:105696..106853
>ILV6 YCL009C SGDID:S000000515, Chromosome III:104619..105548
>YCL012C YCL012C SGDID:S000029705, Chromosome III:101317..101788
>LEU2 YCL018W SGDID:S000000523, Chromosome III:91324..92418
>YCL021W-A YCL021W-A SGDID:S000007549, Chromosome III:83620..83997
>YCL022C YCL022C SGDID:S000000527, Chromosome III:81570..82085
>YCL023C YCL023C SGDID:S000000528, Chromosome III:78949..79296
>KCC4 YCL024W SGDID:S000000529, Chromosome III:79162..82275
>FUS1 YCL027W SGDID:S000000532, Chromosome III:71803..73341
>RNQ1 YCL028W SGDID:S000000533, Chromosome III:70150..71367
>BIK1 YCL029C SGDID:S000000534, Chromosome III:68599..69921
>RRP7 YCL031C SGDID:S000000536, Chromosome III:64675..65568
